comentario,sentimento
Demora na entrega do laudo.,0
Ambiente limpo e organizado.,1
Atendimento rápido e eficiente.,1
Falta de comunicação na recepção.,0
Falta de comunicação na recepção.,0
Laudo demorou mais do que o esperado.,0
Equipe muito atenciosa durante o exame.,1
Demora na entrega do laudo.,0
Laudo demorou mais do que o esperado.,0
Atendimento rápido e equipe muito atenciosa.,1
"Ambiente organizado, porém poderia melhorar a comunicação.",1
Equipe muito atenciosa durante o exame.,1
Laudo demorou mais do que o esperado.,0
Falta de comunicação na recepção.,0
Experiência excelente no setor de ressonância.,1
Atendimento rápido e eficiente.,1
Falta de comunicação na recepção.,0
Falta de comunicação na recepção.,0
Demora para realização do exame.,0
Demora para realização do exame.,0
Atendimento rápido e eficiente.,1
Demora para realização do exame.,0
Experiência excelente no setor de ressonância.,1
Equipe muito atenciosa durante o exame.,1
Laudo demorou mais do que o esperado.,0
Ambiente limpo e organizado.,1
Laudo demorou mais do que o esperado.,0
Falta de comunicação na recepção.,0
Laudo demorou mais do que o esperado.,0
Demora na entrega do laudo.,0
Demora na entrega do laudo.,0
Demora na entrega do laudo.,0
Equipe muito atenciosa durante o exame.,1
Ambiente limpo e organizado.,1
Demora para realização do exame.,0
Equipe muito atenciosa durante o exame.,1
Ambiente limpo e organizado.,1
Equipe muito atenciosa durante o exame.,1
Experiência excelente no setor de ressonância.,1
Ambiente limpo e organizado.,1
Laudo demorou mais do que o esperado.,0
Demora para realização do exame.,0
Demora para realização do exame.,0
Experiência excelente no setor de ressonância.,1
Ambiente limpo e organizado.,1
Equipe muito atenciosa durante o exame.,1
Demora na entrega do laudo.,0
Demora para realização do exame.,0
Demora para realização do exame.,0
Demora para realização do exame.,0
Demora para realização do exame.,0
Atendimento rápido e eficiente.,1
Equipe muito atenciosa durante o exame.,1
Demora para realização do exame.,0
Laudo demorou mais do que o esperado.,0
Demora na entrega do laudo.,0
Falta de comunicação na recepção.,0
Atendimento rápido e eficiente.,1
Equipe muito atenciosa durante o exame.,1
Demora na entrega do laudo.,0
Falta de comunicação na recepção.,0
Demora na entrega do laudo.,0
Demora para realização do exame.,0
Atendimento rápido e eficiente.,1
Equipe muito atenciosa durante o exame.,1
Demora na entrega do laudo.,0
Demora para realização do exame.,0
Demora para realização do exame.,0
Equipe muito atenciosa durante o exame.,1
Ambiente limpo e organizado.,1
Demora na entrega do laudo.,0
Falta de comunicação na recepção.,0
Ambiente limpo e organizado.,1
Demora para realização do exame.,0
Ambiente limpo e organizado.,1
Equipe muito atenciosa durante o exame.,1
Experiência excelente no setor de ressonância.,1
Demora na entrega do laudo.,0
Demora na entrega do laudo.,0
